Sample ID,Age,Gender,Height,Weight,BMI,Food_A
1,36,Female,162,52,19.8,18
2,13,Female,160,43,16.8,8
3,20,Female,153,46,19.7,37
4,24,Male,167,54,19.4,57
5,22,Female,153,43,18.4,14
6,48,Male,168,60,21.3,35
7,46,Female,153,44,18.8,88
8,49,Male,157,44,17.9,100
9,26,Female,159,48,19,37
10,50,Female,153,42,17.9,7.2
11,30,Female,154,43,18.1,16
12,49,Male,158,49,19.6,66
13,45,Female,160,50,19.5,28
14,24,Female,168,58,20.5,110
15,34,Female,159,62,24.5,41
16,26,Male,166,49,17.8,81
17,25,Female,172,56,18.9,31
18,36,Male,167,56,20.1,130
19,45,Male,169,55,19.3,94
20,28,Female,167,54,19.4,71
21,50,Male,148,41,18.7,98
22,51,Female,162,50,19.1,110
23,40,Female,162,62,23.6,41
24,20,Female,151,47,20.6,120
25,14,Female,150,36,16,23
26,18,Male,152,43,18.6,12
27,31,Female,157,47,19.1,27
28,32,Female,159,43,17,25
29,22,Female,141,42,21.1,51
30,30,Male,172,60,20.3,70
31,31,Male,174,59,19.5,22
32,25,Female,165,45,16.5,59
33,43,Male,170,73,25.3,110
34,37,Female,149,51,23,26
35,46,Female,157,53,21.6,58
36,19,Male,162,70,26.7,190
37,40,Male,171,60,20.5,95
38,31,Male,172,80,27,46
39,49,Female,146,45,21.1,57
40,52,Male,166,53,19.2,89
41,39,Female,155,44,18.4,43
42,24,Male,168,69,24.4,70
43,33,Female,149,55,24.7,160
44,38,Male,160,59,23,180
45,47,Female,149,49,22.1,90
46,48,Male,160,54,21,58
47,60,Male,160,55,21.6,83
48,27,Male,176,68,22.1,93
49,41,Male,161,66,25.6,49
50,40,Female,158,66,26.4,26
51,33,Female,144,43,20.7,360
52,53,Female,150,47,21,82
53,43,Male,163,50,18.9,100
54,53,Female,152,51,22.2,200
55,33,Female,155,55,23,57
56,41,Male,162,50,19.2,130
57,15,Female,155,49,20.4,38
58,12,Female,140,40,20.4,100
59,50,Male,159,50,19.8,72
60,10,Male,129,30,18,50
61,44,Female,157,43,17.6,64
62,44,Male,155,65,27.1,64
63,52,Male,168,70,24.8,85
64,21,Female,158,51,20.5,78
65,16,Female,149,42,18.9,61
66,15,Female,153,44,18.8,40
67,43,Male,170,73,25.3,110
68,37,Female,149,51,23,35
69,40,Male,165,54,19.8,59
70,30,Female,158,48,19.2,64
71,47,Female,147,42,19.4,46
72,54,Male,165,54,19.8,39
73,52,Female,156,52,21.4,44
74,48,Female,145,44,20.9,30
75,25,Male,170,57,19.7,60
76,28,Male,160,50,19.5,46
77,26,Female,154,45,19,39
78,43,Male,158,48,19.2,140
79,42,Female,155,50,20.8,28
80,44,Male,177,65,20.7,130
